Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
1.380667507606392,862d63fBE445C3B,Antonio Savage,Cameron,Fitzpatrick,"Dean, Daniels and Charles",999-826-8118,+1-942-704-6437x07516,donald47@buchanan.net,howardtamara@malone-zamora.com,https://www.holland.com/,Facebook Ads,Negotiation,Be mind picture to.
1.2059804048294491,d0Ba4B48CF258f8,Marissa Taylor,Phyllis,Patrick,"Woodward, Everett and Doyle",285-710-1136,(586)761-8506x9605,dorothy36@shannon-dunn.info,alejandrachung@beasley-wolfe.com,https://nash.com/,Other,Closed Lost,Writer probably position nice early police whatever kind.
4.76535372464899,1c2a1d1Ef8dDEFa,Nancy Grant,Ethan,Villegas,Salinas-Camacho,618-471-8875,652-505-2127,kwade@thomas-parks.com,fitzpatrickcole@jordan-massey.com,https://www.bradley-stanley.com/,Organic Search (SEO),Closed Lost,Strong cost together thought.
4.257926602298903,c794AD13aafFCb4,Yesenia Short,Haley,Chapman,Joseph Ltd,341.496.1894x567,241.390.0856x043,shelley22@villarreal.com,pvelazquez@thornton.com,https://day-hawkins.org/,Chatbot,Disqualified,Treatment opportunity drop.
5.543351012656357,f309FD0d9b01991,Joan Meyers,Priscilla,Tran,Velez-Rodgers,364.569.1151x738,+1-788-488-1036,kgutierrez@lyons.com,ykeller@oneill.com,http://nichols-hanson.com/,LinkedIn Outreach,Closed Won,Local throw as soldier finally house always.
6.116727940022133,A8E3A3d0BFFE5b9,Cameron Mooney,Javier,King,Riddle Inc,432.386.0345x1453,4425920285,tammy78@zimmerman.com,gvalencia@dunn-hardin.com,http://mcconnell.org/,Facebook Ads,On Hold,Though action civil small then help personal property.
6.9646828983886,Be725FC6EfCB65C,Glen Horne,Sophia,Mcmahon,Frederick-Pineda,001-765-679-8771x75378,309.512.4189x8093,biancagallegos@ryan.info,sallyhawkins@pope-blackwell.org,https://shepherd-glover.com/,Partner Program,Disqualified,Event step floor cause each.
8.944192696236108,C03491Db1c7BeF3,Oscar Ware,Steven,Riley,Melton-Mcintosh,621.359.5298,779.264.2927x419,hillandre@hensley.org,velazquezellen@richards-brady.com,http://www.middleton.org/,Purchased List,Re-engagement,Hotel almost chance open describe.
10.093769503308025,fFC94f55FcfbFBE,Renee Hart,Keith,Suarez,Bernard Ltd,001-489-318-8021x03052,(915)600-9701x379,masonjoann@johnson.com,zmadden@guzman-hodges.com,https://burgess.org/,Content Marketing,Re-engagement,Raise ability star light may.
10.511642118447055,2730Ed0d5fAC1c9,Linda Murillo,Jerry,Parker,English Ltd,7866949727,(254)626-8091x639,amandatanner@thompson-perry.com,hshelton@steele.com,http://www.ibarra.biz/,Direct Traffic,New Lead,Animal effect suffer international over security.
11.24149251602243,0EEaaBCd1B1E616,Eric Quinn,Mckenzie,Barajas,Kent and Sons,553.704.6803,001-684-627-5764x8580,ramirezbethany@carroll.com,ndavenport@pacheco.com,http://parsons.org/,Webinars,New Lead,See total kid technology.
13.226139682322046,9F1A4A6Ec683cEd,Angelica Salinas,Tina,Banks,"Hernandez, Gould and Tate",+1-982-572-8198x0142,(567)860-6229x5965,joluna@huerta.info,malik73@stark-herman.com,https://adkins.org/,LinkedIn Outreach,Closed Lost,Over religious seat I surface world often.
14.045449089764563,EFffF4cA5Ff78f2,Shelby Harrington,Sherry,Hurley,Owens and Sons,+1-247-268-5582x29817,673.324.9098x74040,malik73@doyle.com,parkeryu@bass.com,http://www.lloyd.info/,Website Form,Disqualified,Pass guess capital key bag reduce subject.
13.892980443156802,E2e4cD87FeC6Fd0,Nina Anderson,Tanya,Middleton,Durham-Reilly,+1-612-780-0112x01770,698-622-8471,kylieesparza@may-caldwell.com,anthonyjay@gardner.biz,https://henson.biz/,Google Ads,Re-engagement,Their tend sense game result would set.
15.20123746898547,8E2095a4cee1DBb,Barry Whitaker,Tiffany,Bowman,Bray PLC,923-795-7518,001-247-209-1950x53032,ochoalevi@osborn.info,harrellerika@haynes.com,https://www.larsen.com/,Website Form,Re-engagement,Quickly last phone question low.
16.735327237520114,CEA4F32AEB26f33,Melissa Alvarado,Tyrone,Lambert,Neal PLC,+1-275-748-3286x412,601-719-9800,jimmywright@mccarty.com,crosbycesar@diaz-bean.info,http://lin.com/,Direct Traffic,Re-engagement,Inside so exist attack.
16.92573930666036,Ce2A5eb4dC72E18,Emma Guzman,Eileen,Hood,Pena PLC,+1-433-787-4359x985,(991)687-4384x5133,mcameron@finley.com,danielle33@clarke-hartman.info,https://rowland-arnold.com/,Chatbot,Qualified,Power ability important eye law democratic expect.
18.639814407340996,bB2e1aD4A3e0Bd0,Carly Walton,Karen,Cox,Brooks-Gilmore,471.527.0291x0621,001-276-282-7866x371,mowens@fernandez.info,mccarthycaroline@steele.com,http://www.chung.com/,Website Form,Closed Won,Seven statement performance home.
17.906409247138786,EC2e54dD29cA5C3,Ernest Winters,Sophia,Franco,"Nixon, Coleman and Dougherty",(544)918-7798,+1-757-457-4834,sellersdarrell@keller.org,kochfelicia@sellers.com,https://hubbard.net/,Website Form,Closed Won,Out pass tell yeah he eye.
17.858397661627055,e1e0d69dFFCFE19,Mathew Bauer,Karina,Blackburn,"Kane, Warren and Benton",(366)848-1680x4950,536-309-5035,stephanie81@valencia.com,glasswhitney@meyer.info,https://www.holloway-knox.biz/,Organic Search (SEO),Qualified,Learn building guy environment memory.
20.41304860862652,E2e4cD87FeC6Fd0,Meghan Gay,Parker,Newton,"Miles, Li and Larsen",735.846.9280x886,601-719-9800,courtneyfitzpatrick@little.info,daisy82@rose.com,http://mclean.info/,Social Media,On Hold,Particularly then at real film ground walk usually.
22.328915943523814,E8d85DE3A7a356d,Yolanda Gonzalez,Gary,Johns,Meza Inc,9728522763,+1-218-725-7495x267,shaunsherman@gardner-gutierrez.com,sheenacarpenter@jensen-ortega.com,https://moran.com/,Cold Call,Qualified,Growth light film book foot star.
23.35804727946462,Fe9C4eFD56EA7BE,Troy Newman,Mckenzie,Vargas,"Hebert, Graves and Duran",2966943546,(595)383-3715x462,moyeralvin@livingston.info,george92@thornton-rush.com,http://www.pierce.com/,Social Media,Re-engagement,Current technology away well speak act.
24.583823819586,c5cf2B2adbbbc6B,Anna Pearson,Allison,Lara,Ferguson Inc,449.256.8860,978-956-9791,muellermandy@kramer.info,psaunders@mayo-villanueva.com,https://gonzales-arroyo.info/,Webinars,Closed Won,Break determine speech true.
23.862957747860836,87b3AEB2447dA62,Tracy Edwards,Chad,Mata,"Carney, Cantu and Sawyer",(619)478-1204x919,6264329904,andrewcantrell@bruce-wolfe.biz,vdowns@sims.com,http://hanson-poole.com/,Partner Program,New Lead,Kind miss believe economic sense play.
25.759695162838383,8d8f7cDdefb910e,Diane Werner,Joy,Robbins,Meza Inc,249.662.8163x2852,001-574-792-9623,wendydennis@barajas.com,zmays@cherry.com,http://www.kaiser-edwards.com/,LinkedIn Outreach,Contacted,Oil to when product evening strategy American.
26.91897886663833,CaB44Ef5a4ef3DA,Clayton Ellis,Lydia,Barron,Schroeder Group,955-453-6069x659,549-858-3009x7600,lfoster@moon-hogan.org,jzhang@ruiz-wade.com,https://www.barton.com/,Organic Search (SEO),Disqualified,President among could traditional.
29.26075612574483,AeBdC072578242D,Mike Benson,Carly,Morton,"Berry, Wyatt and Thompson",783-562-2282,+1-918-606-6575x169,alexis37@estrada.info,macdonaldcurtis@stafford.org,http://decker.com/,Social Media,Re-engagement,Young southern to soldier foot face trouble especially.
28.99046485661292,24debf2dEe8eDF3,Jeffrey Hayes,Shari,Herrera,Perkins LLC,+1-333-970-7031,233-437-3428x5233,rcollins@cox-valenzuela.org,wproctor@nunez.biz,https://www.tran.com/,Podcast,Negotiation,Treat top event where become.
29.57733686876176,54A577b361e1E31,Roy Phelps,Lucas,Fitzgerald,"Reed, Porter and Garrett",(342)932-5965x89442,233-437-3428x5233,ehuerta@bond.net,msaunders@gill-keller.com,http://www.harper.com/,Cold Call,Proposal Sent,Mind quality those the.
30.270692231415133,ccF8e0d8fBB8Daf,Doris Ali,Grace,Knox,Daniels PLC,001-707-514-2024x71083,(911)433-5304,sacevedo@randolph-rojas.com,stephensonkurt@white.net,https://tran-steele.info/,LinkedIn Outreach,Negotiation,Recently the be traditional.
34.163224169612484,B1cd9E2FeC7C57f,Jorge Huffman,Gregg,Craig,Harrington Group,865-354-6948x31539,717-622-5758x990,veronicaskinner@fritz.com,spencerjermaine@garrett.com,https://hill-cuevas.biz/,Direct Traffic,Negotiation,Quickly mind performance subject who pass throughout end.
33.04061054322633,Df3CC92785D5BC8,Herbert Mccormick,Charlotte,Hughes,Velazquez Inc,6296898135,(413)393-1842x9426,alexcarson@rosales.com,mullenelijah@patterson.net,http://arellano.com/,Trade Show,Proposal Sent,Measure enter hold.
32.58865924259113,d6da7e04Fd5DEF5,Kelsey Richard,Eddie,Ross,"Peterson, Mcintosh and Duran",(284)424-7909,991-910-9131,lynnjody@ryan-delgado.biz,dennissherman@oneal.com,https://www.mosley-mcclure.org/,Podcast,New Lead,Dream shake among black student many.
35.36068236048333,29Db24dCDfEdBCC,Susan Leonard,Alfred,Bolton,"Reeves, Patterson and Walls",001-495-929-1716x6067,264-742-0019x9075,theodoreholder@sellers.com,robbinsross@sexton-watkins.com,https://duffy.com/,Purchased List,Contacted,Avoid industry teacher total build such.
36.402818903079975,97Dc0AFa6e8159D,Priscilla Mann,Gail,Warner,"Graves, Sutton and Harding",449.220.1983,603-488-5507x5391,jakesoto@castaneda-blanchard.com,jordan95@johnston-espinoza.com,http://mcgee-stanton.biz/,Google Ads,Re-engagement,All coach size after benefit part.
